title,provider,duration_weeks,level,skill_tags,prerequisites,description,link,cost,type
"Python for Beginners","Coursera",6,"Beginner","Python","","Learn Python from scratch","https://www.coursera.org/learn/python",50,"Paid"
"Data Analysis with Python","Udemy",8,"Intermediate","Python,Pandas,NumPy","","Analyze data with Python libraries","https://www.udemy.com/course/data-analysis-with-python/",60,"Paid"
"Machine Learning A-Z","Udemy",12,"Intermediate","Python,Machine Learning","","Complete ML course","https://www.udemy.com/course/machinelearning/",100,"Paid"
"Deep Learning Specialization","Coursera",14,"Advanced","Python,TensorFlow","","Deep learning foundations","https://www.coursera.org/specializations/deep-learning",120,"Paid"
"Excel Essentials","edX",4,"Beginner","Excel","","Master Excel basics","https://www.edx.org/course/excel-essentials",30,"Paid"
"SQL for Data Science","Coursera",6,"Beginner","SQL","","SQL for data analysis","https://www.coursera.org/learn/sql-for-data-science",40,"Paid"
"Statistics Fundamentals","Udemy",5,"Beginner","Statistics","","Learn statistics basics","https://www.udemy.com/course/statistics-for-data-science/",35,"Paid"
"Python for Data Science","edX",7,"Intermediate","Python,Pandas,NumPy","","Data science using Python","https://www.edx.org/course/python-for-data-science",55,"Paid"
"Introduction to AI","Coursera",6,"Beginner","AI,Python","","Basics of AI","https://www.coursera.org/learn/introduction-to-ai",50,"Paid"
"NLP with Python","Udemy",10,"Intermediate","Python,NLP","","Natural Language Processing course","https://www.udemy.com/course/nlp-with-python/",70,"Paid"
"Computer Vision with OpenCV","edX",12,"Intermediate","Python,OpenCV","","Learn CV techniques","https://www.edx.org/course/computer-vision-with-opencv",80,"Paid"
"TensorFlow for Beginners","Udemy",8,"Beginner","Python,TensorFlow","","Learn TensorFlow basics","https://www.udemy.com/course/tensorflow-for-beginners/",50,"Paid"
"Deep Reinforcement Learning","Coursera",15,"Advanced","Python,TensorFlow","","RL with deep learning","https://www.coursera.org/learn/deep-reinforcement-learning",150,"Paid"
"Leadership Skills","Udemy",4,"Beginner","Leadership","","Develop leadership skills","https://www.udemy.com/course/leadership-skills/",20,"Paid"
"Communication Skills","edX",3,"Beginner","Communication","","Improve communication","https://www.edx.org/course/communication-skills",20,"Paid"
"Teamwork Essentials","Coursera",3,"Beginner","Teamwork","","Team collaboration skills","https://www.coursera.org/learn/teamwork-essentials",15,"Paid"
"Creative Thinking","Udemy",4,"Beginner","Creativity","","Enhance creativity","https://www.udemy.com/course/creative-thinking/",25,"Paid"
"Problem Solving Mastery","edX",5,"Intermediate","Problem Solving","","Advanced problem solving techniques","https://www.edx.org/course/problem-solving-mastery",40,"Paid"
"AWS Cloud Practitioner","Udemy",6,"Beginner","AWS","","Cloud basics with AWS","https://www.udemy.com/course/aws-certified-cloud-practitioner/",60,"Paid"
"Azure Fundamentals","Coursera",6,"Beginner","Azure","","Learn Azure cloud","https://www.coursera.org/learn/azure-fundamentals",50,"Paid"
"Docker Essentials","Udemy",4,"Beginner","Docker","","Containerization basics","https://www.udemy.com/course/docker-essentials/",40,"Paid"
"Kubernetes for Beginners","edX",8,"Intermediate","Kubernetes,Docker","","Learn Kubernetes","https://www.edx.org/course/kubernetes-for-beginners",70,"Paid"
"Git & GitHub","Udemy",3,"Beginner","Git","","Version control fundamentals","https://www.udemy.com/course/git-and-github-version-control/",25,"Paid"
"Agile Project Management","Coursera",5,"Intermediate","Agile","","Manage projects with Agile","https://www.coursera.org/learn/agile-project-management",50,"Paid"
"Python for Finance","Udemy",7,"Intermediate","Python,Finance","","Python for financial analysis","https://www.udemy.com/course/python-for-finance/",70,"Paid"
"Data Visualization with Tableau","edX",6,"Intermediate","Tableau","","Visualize data with Tableau","https://www.edx.org/course/data-visualization-with-tableau",60,"Paid"
"Excel Advanced","Udemy",5,"Intermediate","Excel","","Advanced Excel functions","https://www.udemy.com/course/excel-advanced/",35,"Paid"
"R for Data Science","Coursera",8,"Intermediate","R,Statistics","","Data science using R","https://www.coursera.org/learn/r-for-data-science",60,"Paid"
"Power BI Basics","edX",4,"Beginner","Power BI","","Introduction to Power BI","https://www.edx.org/course/power-bi-basics",30,"Paid"
"Cybersecurity Fundamentals","Udemy",6,"Beginner","Cybersecurity","","Basics of cybersecurity","https://www.udemy.com/course/cybersecurity-fundamentals/",50,"Paid"
"Ethical Hacking","Udemy",10,"Advanced","Cybersecurity,Networking","","Learn ethical hacking","https://www.udemy.com/course/ethical-hacking-course/",100,"Paid"
